ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
14401,Sep,1,Monday,Chevrolet,Urban,Thursday,Sep,2,Female,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14402,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
13193,Mar,3,Monday,Mazda,Urban,Monday,Mar,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,13194,11,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
12064,May,2,Tuesday,Toyota,Urban,Wednesday,May,2,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12065,11,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
2071,Jul,2,Monday,Accura,Urban,Monday,Jul,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2072,13,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
9767,Jun,1,Friday,Pontiac,Urban,Monday,Jun,2,Female,Married,44,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9768,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
14437,Aug,2,Wednesday,Chevrolet,Rural,Thursday,Aug,3,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,14438,4,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
1878,Feb,1,Saturday,Pontiac,Urban,Wednesday,Feb,2,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1879,3,400,2,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
10348,Feb,3,Saturday,Chevrolet,Urban,Thursday,Feb,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10349,6,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
4525,Jun,3,Tuesday,Chevrolet,Urban,Wednesday,Jul,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,4526,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
14863,Nov,3,Thursday,Pontiac,Urban,Wednesday,Dec,3,Male,Married,40,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14864,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability
7167,Apr,3,Saturday,Pontiac,Urban,Monday,Apr,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7168,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
8404,Nov,3,Thursday,Chevrolet,Rural,Friday,Nov,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8405,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
4102,May,5,Monday,Chevrolet,Urban,Thursday,Jun,1,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,4103,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1850,Jan,2,Saturday,Toyota,Urban,Tuesday,Jan,3,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1851,13,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
8198,Oct,5,Friday,Pontiac,Rural,Friday,Oct,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,more than 69000,0,8199,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12783,Aug,3,Friday,Honda,Rural,Friday,Dec,4,Male,Single,19,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12784,6,400,1,more than 30,more than 30,none,3 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
10951,Aug,1,Friday,Toyota,Urban,Wednesday,Aug,2,Male,Single,46,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,10952,6,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
2157,Sep,1,Sunday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2158,8,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
6103,Dec,1,Friday,Mazda,Urban,Monday,Dec,1,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6104,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
12913,Mar,2,Saturday,Pontiac,Urban,Tuesday,Mar,3,Male,Married,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12914,13,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
14167,Sep,2,Wednesday,Honda,Urban,Wednesday,Oct,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14168,16,700,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
13739,Jan,2,Sunday,Pontiac,Urban,Friday,Jan,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13740,7,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision
9178,Jun,3,Friday,Mazda,Urban,Friday,Jun,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9179,11,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
5566,Mar,2,Sunday,Toyota,Urban,Monday,Mar,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5567,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
6357,Dec,3,Wednesday,Mazda,Urban,Friday,Dec,4,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6358,11,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
1559,Dec,5,Thursday,Mazda,Urban,Tuesday,Jan,3,Male,Married,66,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1560,5,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3291,Jun,2,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3292,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3215,Apr,3,Friday,Toyota,Urban,Wednesday,Apr,3,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3216,10,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
13992,May,3,Friday,Toyota,Urban,Monday,May,4,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13993,12,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
11507,May,1,Wednesday,Toyota,Urban,Thursday,May,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11508,11,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12275,Apr,1,Friday,Honda,Rural,Monday,Apr,1,Female,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12276,16,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
10125,Sep,2,Monday,Toyota,Urban,Friday,Sep,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10126,4,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2170,Mar,3,Sunday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2171,16,700,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
14185,Oct,5,Tuesday,Toyota,Urban,Thursday,Nov,1,Male,Married,57,Third Party,Sedan - All Perils,Sedan,less than 20000,0,14186,1,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils
5370,Feb,2,Saturday,Pontiac,Urban,Wednesday,Apr,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5371,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3832,Oct,1,Tuesday,Chevrolet,Urban,Tuesday,Oct,3,Male,Married,43,Policy Holder,Utility - Liability,Utility,more than 69000,0,3833,13,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
9958,Nov,2,Wednesday,Ford,Urban,Monday,Nov,2,Male,Married,60,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9959,11,400,1,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
5796,Jun,2,Thursday,Toyota,Urban,Thursday,Jun,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5797,2,400,2,15 to 30,15 to 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
13187,Feb,2,Friday,Mazda,Urban,Wednesday,Feb,3,Female,Married,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13188,11,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
1502,Oct,2,Thursday,Honda,Urban,Saturday,Oct,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1503,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14019,Apr,4,Monday,Pontiac,Urban,Thursday,May,1,Male,Married,53,Third Party,Sedan - All Perils,Sedan,less than 20000,0,14020,9,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
5972,Apr,2,Tuesday,Mazda,Urban,Friday,May,1,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,5973,2,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3153,Jul,3,Tuesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3154,15,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
5001,Oct,1,Monday,Toyota,Urban,Monday,Oct,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5002,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
12545,Dec,2,Wednesday,Toyota,Rural,Monday,Dec,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12546,15,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
2238,Mar,4,Thursday,Mazda,Rural,Friday,Apr,1,Female,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2239,13,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
5827,Nov,2,Monday,Pontiac,Urban,Tuesday,Nov,3,Male,Married,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5828,11,400,2,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
6878,Oct,1,Sunday,Ford,Urban,Thursday,Oct,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6879,3,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
10936,May,5,Saturday,Pontiac,Urban,Monday,Jun,2,Male,Single,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10937,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
5324,Dec,4,Sunday,Mazda,Urban,Wednesday,Jan,3,Male,Married,79,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5325,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
5211,Jun,3,Tuesday,Pontiac,Urban,Wednesday,Jun,4,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5212,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
4862,May,3,Friday,Pontiac,Rural,Wednesday,May,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4863,10,400,2,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
13611,Jul,4,Friday,Accura,Urban,Friday,Jul,4,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13612,12,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
9815,Jul,5,Friday,Chevrolet,Urban,Friday,Aug,4,Female,Single,28,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9816,6,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
2428,Jun,1,Tuesday,Honda,Urban,Wednesday,Jun,2,Male,Married,63,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2429,9,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
1490,Jul,3,Tuesday,Mazda,Urban,Thursday,Jul,4,Female,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1491,2,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
10593,May,3,Monday,Honda,Urban,Tuesday,May,4,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10594,6,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
343,Jan,4,Thursday,Honda,Urban,Friday,Jan,4,Male,Married,46,Third Party,Sedan - Liability,Sport,20000 to 29000,0,344,13,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
5393,Jan,3,Monday,Honda,Urban,Monday,Jan,3,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5394,14,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
14869,Nov,4,Friday,Mazda,Urban,Tuesday,Nov,5,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,14870,15,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
4650,Dec,2,Monday,Mazda,Urban,Wednesday,Dec,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4651,2,700,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
7194,Jul,1,Thursday,Chevrolet,Urban,Monday,Jul,2,Female,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7195,7,400,3,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
2776,Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2777,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
13963,Feb,1,Friday,Mazda,Urban,Wednesday,Feb,2,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13964,5,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
3084,Jun,2,Thursday,Pontiac,Urban,Monday,Jun,2,Female,Single,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3085,14,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14042,Jun,1,Monday,Pontiac,Rural,Tuesday,Jun,1,Male,Married,44,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14043,1,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
7454,Aug,1,Thursday,Honda,Rural,Tuesday,Sep,2,Male,Married,37,Third Party,Sedan - All Perils,Sedan,less than 20000,0,7455,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
14511,Oct,1,Tuesday,Mazda,Urban,Tuesday,Nov,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14512,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Liability
8959,Dec,5,Friday,Toyota,Urban,Wednesday,Jan,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,8960,10,400,4,none,more than 30,1,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
2076,Oct,2,Saturday,Pontiac,Urban,Thursday,Oct,3,Male,Married,69,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2077,14,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1740,Jan,5,Saturday,Toyota,Urban,Monday,Feb,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1741,6,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
12212,Jul,2,Sunday,Chevrolet,Urban,Monday,Jul,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12213,2,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
15146,Feb,1,Saturday,Toyota,Urban,Monday,Feb,1,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15147,12,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
8057,Jul,1,Friday,Dodge,Urban,Wednesday,Jul,1,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8058,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
3281,Oct,2,Monday,Mazda,Rural,Tuesday,Oct,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3282,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
7048,Feb,1,Thursday,Honda,Urban,Thursday,Feb,1,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7049,16,400,3,1 to 7,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
7485,Jun,3,Tuesday,VW,Urban,Monday,Jun,3,Male,Married,66,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7486,13,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
3343,Sep,2,Thursday,Mazda,Urban,Friday,Sep,2,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3344,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3151,Aug,5,Wednesday,Toyota,Rural,Thursday,Sep,1,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3152,6,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
12280,Apr,3,Friday,Pontiac,Urban,Monday,Apr,3,Male,Single,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12281,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
2972,Dec,2,Sunday,Chevrolet,Urban,Wednesday,Dec,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2973,8,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
4352,Nov,4,Friday,Toyota,Urban,Tuesday,Nov,5,Male,Married,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4353,13,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
5657,Feb,4,Saturday,Toyota,Urban,Thursday,Mar,1,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5658,8,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
11930,Jan,2,Sunday,Honda,Urban,Monday,Jan,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11931,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
5678,Aug,2,Saturday,Pontiac,Rural,Tuesday,Aug,5,Male,Married,49,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5679,1,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
6990,Oct,2,Friday,Saturn,Urban,Monday,Oct,2,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,6991,10,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
4920,Nov,2,Tuesday,Mazda,Urban,Tuesday,Nov,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4921,14,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Liability
2855,Apr,2,Wednesday,Toyota,Urban,Wednesday,Apr,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2856,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
706,Jun,1,Tuesday,Toyota,Urban,Wednesday,Jun,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,707,16,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3985,Apr,5,Friday,Accura,Urban,Wednesday,May,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3986,10,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2550,May,1,Sunday,Honda,Urban,Friday,Nov,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2551,4,500,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
10753,Jun,3,Friday,Mazda,Urban,Friday,Jun,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10754,8,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
9429,Nov,2,Sunday,Toyota,Urban,Friday,Nov,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9430,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
13391,Nov,1,Thursday,Pontiac,Urban,Wednesday,Nov,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13392,7,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
8120,Sep,2,Saturday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8121,14,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
1941,Jan,2,Monday,Mazda,Urban,Monday,Jan,2,Female,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1942,10,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
13464,Jul,2,Tuesday,Honda,Rural,Wednesday,Jul,3,Female,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13465,4,500,2,none,15 to 30,1,7 years,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1996,Collision
15037,Aug,1,Saturday,Chevrolet,Rural,Tuesday,Aug,5,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15038,14,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision
6599,Apr,4,Thursday,Mazda,Urban,Thursday,May,3,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6600,9,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
3418,May,3,Sunday,Chevrolet,Rural,Tuesday,May,4,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3419,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
2434,Nov,3,Friday,Honda,Urban,Friday,Nov,3,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2435,14,400,3,more than 30,more than 30,none,7 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
2731,Apr,2,Thursday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,2732,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
6546,Jun,3,Wednesday,Mazda,Rural,Wednesday,Jun,3,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6547,16,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
7711,Nov,2,Friday,Honda,Urban,Friday,Nov,2,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7712,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
